icao,name,manufacturer,type,apc,wtc,recat_eu,mtow_kg,v2_ias_kts,takeoff_distance_m,initial_climb_ias_kts,initial_climb_roc_ftmin,climb_fl150_ias_kts,climb_fl150_roc_ftmin,climb_fl240_ias_kts,climb_fl240_roc_ftmin,mach_climb_mach,mach_climb_roc_ftmin,cruise_tas_kt,cruise_mach,cruise_ceiling_fl,range_nm,init_descent_mach,init_descent_rod_ftmin,descent_fl100_ias_kt,descent_fl100_rod_ftmin,approach_ias_kt,approach_rod_ftmin,approach_mcs_kt,vat_ias_kt,landing_distance_m,wing_span_m,length_m,height_m,power_plant,wing_position,engine_position,tail_configuration,landing_gear,iata
A310,,,L2J,C,H,Lower Heavy,150000,160,2290,190,2500,190,2500,190,2500,0.79,2500,480,0.79,,5100,0.79,1500,190,1500,190,1500,220,139,2290,43.9,46.66,15.8,2 x 233 kN GE CF6-50-C2 or 2 x 234 kN P&W JT9D-59A1T turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,310 / 312 / 313 / 31F / 31X / 31Y
A318,,,L2J,C,M,Upper Medium,59000,135,1400,165,3000,165,3000,165,3000,0.76,3000,460,0.76,,1500,0.76,800,165,800,165,800,210,125,1400,34.1,31.45,12.56,2 x 90kN P&W PW6124 or 2 x 98kN CFM 56-5B turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,318 / 32S
A319,,,L2J,C,M,Upper Medium,64000,135,1750,165,2500,165,2500,165,2500,0.78,2500,450,0.78,,1800,0.78,1000,165,1000,165,1000,210,130,1750,34.1,33.84,11.76,2 x 98kN CFM56-5A4 or 2 x 104.6kN IAE V2524-A5 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,319 / 32S
A320,,,L2J,C,M,Upper Medium,73900,145,2190,175,2500,175,2500,175,2500,0.78,2500,450,0.78,,2700,0.78,1000,175,1000,175,1000,210,137,2190,34.1,37.57,11.76,2 x 111kN CFM56-5A1 or 2 x 118kN CFM56-5A3 or 2 x 125kN  IAE V2500 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,320 / 32S
A321,,,L2J,C,M,Upper Medium,83000,145,2210,175,2500,175,2500,175,2500,0.78,2500,450,0.78,,2350,0.78,1000,175,1000,175,1000,210,141,2210,34.1,44.51,11.76,2 x 133kN  CFM56-5B1 or 2 x 133kN  IAE V2530-A5 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,321 / 32S
A332,,,L2J,C,H,Upper Heavy,230000,145,2300,175,2000,175,2000,175,2000,0.80,2000,470,0.80,,6750,0.80,1000,175,1000,175,1000,200,140,2300,60.3,58.8,17.4,2 x 306kN  GE CF6-80E1 or 2 x 300kN R-R Trent 772 or 2 x 308kN PW 4173 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,330 / 332
A333,,,L2J,C,H,Upper Heavy,230000,145,2300,175,2000,175,2000,175,2000,0.80,2000,475,0.80,,5650,0.80,1000,175,1000,175,1000,200,140,2300,60.3,63.6,16.85,2 x 306kN  GE CF6-80E1 or 2 x 300kN R-R Trent 772 or 2 x 308kN PW 4000 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,330 / 333
A338,,,L2J,C,H,Upper Heavy,251000,145,2300,175,2000,175,2000,175,2000,0.80,2000,475,0.80,,8150,0.80,1500,175,1500,175,1500,200,140,2300,64,58.82,17.39,2 x 324kN Rolls-Royce Trent 7000,Low wing,Underwing mounted,"Regular tail, low set",Tricycle retractable,338
A339,,,L2J,D,H,Upper Heavy,251000,145,2350,175,2000,175,2000,175,2000,0.80,2000,475,0.80,,7200,0.80,1500,175,1500,175,1500,200,140,2350,64,63.66,16.79,2 x 324kN Rolls-Royce Trent 7000,Low wing,Underwing mounted,"Regular tail, low set",Tricycle retractable,339
A342,,,L4J,D,H,Upper Heavy,275000,145,2765,175,1500,175,1500,175,1500,0.81,1500,490,0.81,,8000,0.81,1000,175,1000,175,1000,210,150,2765,60.3,59.39,16.7,4 x 141kN CFM56-5C4 or 4 x 147kN CFM 56-5C3 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,340 / 342
A343,,,L4J,D,H,Upper Heavy,275000,145,2765,175,1400,175,1400,175,1400,0.80,1400,490,0.80,,7200,0.80,1000,175,1000,175,1000,210,150,2765,60.3,63.6,16.85,4 x 154kN CFM56-5C4/P turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,340 / 343
A345,,,L4J,D,H,Upper Heavy,368000,145,3200,175,1500,175,1500,175,1500,0.81,1500,480,0.81,,8800,0.81,1000,175,1000,175,1000,210,155,3200,63.45,67.9,17.1,4 x 236kN R-R Trent 553 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,340 / 345
A346,,,L4J,D,H,Upper Heavy,368000,145,3140,175,1500,175,1500,175,1500,0.81,1500,480,0.81,,7750,0.81,1000,175,1000,175,1000,210,155,3140,63.45,75.3,17.3,4 x 249kN R-R Trent 556 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,340 / 346
A359,,,L2J,C,H,Upper Heavy,268000,150,888,220,3000,220,3000,220,3000,0.82,3000,490,0.82,,8100,0.82,1500,220,1500,220,1500,220,140,888,64.8,66.9,17.05,2x RR Trent XWB delivering 374kN each.,Low wing (winglets),Underwing mounted,"Regular tail, low set",Tricycle retractable,359
A35K,,,L2J,D,H,Upper Heavy,319000,155,2600,220,2500,220,2500,220,2500,0.82,2500,490,0.82,,8700,0.82,1500,220,1500,220,1500,220,150,2600,64.75,73.79,17.08,2 x RR Trent XWB (430kN each),Low wing (winglets),Underwing mounted,"Regular tail, low set",Tricycle retractable,351
A388,,,L4J,C,J,Super Heavy,560000,150,2970,190,1500,190,1500,190,1500,0.83,1500,520,0.83,,8000,0.83,1000,190,1000,190,1000,230,140,2970,79.8,73,24.1,4 x 311kN R-R Trent 900 or GP7200,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,380 / 38F
A3ST,,,L2J,C,H,Lower Heavy,155000,,1950,180,1200,180,1200,180,1200,0.68,1200,400,0.68,,2500,0.68,1500,180,1500,180,1500,210,140,1950,44.8,56.2,17.2,2 x 262 kN GE CF6- 80C2A8 turbofans.,Low wing,Underwing mounted,"Double fin, low set",Tricycle retractable,ABB
A4,,,L1J,C,M,Light,11136,130,230,150,8500,150,8500,150,8500,0.75,8500,580,0.75,,1700,0.75,6000,150,6000,150,6000,180,135,230,8.4,12.2,4.6,1x Pratt & Whitney J52-P8A (41kN),Delta wing,In rear fuselage,"Regular tail, mid set",Tricycle retractable,
A400,,,L4T,C,H,Lower Heavy,141000,120,940,155,2000,155,2000,155,2000,0.65,2000,422,0.65,,1800,0.65,2000,155,2000,155,2000,135,130,940,42.4,43.8,14.6,"4 × Europrop TP400-D6 turboprop 8200 kW (11000 hp) each.&#13;&#10;&#13;&#10;8-bladed Ratier-Figeac FH385 and FH386 variable pitch propellers with feathering and reversing capability (FH385 anticlockwise on engines 2 and 4, FH386 clockwise on engines 1 and 3)",High swept wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,
A6,,,L2J,B,M,Lower Medium,28000,140,900,170,10000,170,10000,170,10000,0.70,10000,420,0.70,,1000,0.70,5000,170,5000,170,5000,,110,900,16.2,18.2,4.9,"2 x 49,8 kN P & W J52-P-408 turbojets.",Mid wing,Both sides of fuselage,"Regular tail, mid set",Tricycle retractable,
A748,,,L2T,B,M,Lower Medium,21090,110,1000,140,1000,140,1000,140,1000,,1000,220,,,1400,,1000,140,1000,140,1000,170,120,1000,30,20.4,7.6,2 x 2.280 SHP R-R Dart Mk 534 or 2 x 2.280 SHP R-R Dart Mk 552 turboprops with 4 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, low set",Tricycle retractable,HS7
AC11,,,L1P,A,L,Light,1480,70,350,100,800,100,800,100,800,,800,150,,,750,,500,100,500,100,500,67,70,350,10,7.6,2.6,112: 1 x 200 HP Lycoming IO-360-C1D6 piston engines with 2 blade propeller. 114/115: 1 x 263 HP Lycoming IO-540-T4B5 piston engine with 3 blade propeller.,Low wing,Nose mounted,Cruciform tail,Tricycle retractable,
AC50,,,L2P,A,L,Light,3060,80,400,110,1000,110,1000,110,1000,,1000,160,,,1100,,800,110,800,110,800,,75,400,14.9,11.2,4.6,2 x 250 HP Lycoming O-540-A2B or 2 x 260 HP Continental IO-470-M or 2 x 290 HP Lycoming IO-540-E1B1 piston engines with 3 blade propellers.,High wing,(Front) Wing leading mounted,Regular tail (Anhedral),Tricycle retractable,
AC56,,,L2P,A,L,Light,3060,80,400,110,1000,110,1000,110,1000,,1000,160,,,1000,,800,110,800,110,800,,75,400,14.9,11.2,4.6,2 x 275 HP Lycoming GO-480-D1A or 2 x 295 HP Lycoming GO-480-G1B6 or 2 x 350 HP Lycoming IGO-540-B1A piston engines with 3 blade propellers.,High wing,(Front) Wing leading mounted,Regular tail (Dihedral),Tricycle retractable,
AC68,,,L2P,A,L,Light,3860,80,350,110,1000,110,1000,110,1000,,1000,160,,,1200,,800,110,800,110,800,,75,350,13.4,13.1,4.6,2 x 340 HP Lycoming GSO-480-A1A-6 or 2 x 380 HP Lycoming IGSO-540-B1A  piston engines with 3 blade propellers.,High wing,(Front) Wing leading mounted,Regular tail (Anhedral),Tricycle retractable,
AC6L,,,L2P,A,L,Light,4650,80,350,110,1000,110,1000,110,1000,,1000,170,,,1200,,800,110,800,110,800,,75,350,14.4,13.5,4.6,2 x 380 HP Lycoming IGSO-540-B1C piston engines with 3 blade propellers.,High wing,(Front) Wing leading mounted,Regular tail (Anhedral),Tricycle retractable,
AC95,,,L2T,B,L,Light,5080,100,500,130,2000,130,2000,130,2000,,2000,270,,,800,,1500,130,1500,130,1500,,100,500,15.9,13.1,4.6,2 x 980 SHP Garrett TPE 331-10-501K (flat rated to 820 SHP) turboprops with 3 blade propellers.,High wing,(Front) Wing leading mounted,Regular tail (Dihedral),Tricycle retractable,ACD
AEST,,,L2P,B,L,Light,2860,95,550,125,1500,125,1500,125,1500,,1500,230,,,1200,,2500,125,2500,125,2500,,100,550,11.2,10.6,3.9,600A: 2 x 290 HP Lycoming IO-540-K1J5 piston engines with 3 blade propellers. 700P: 2 x 350 HP Lycoming TIO-540-K2A turbocharged piston engines with 3 blade propellers.,Mid wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
AJET,,,L2J,B,M,Light,7000,140,350,170,10000,170,10000,170,10000,0.83,10000,500,0.83,,1200,0.83,5000,170,5000,170,5000,93,92,350,9.1,12.3,4.2,"F: 2 x 13,48 kN SNECMA Larzac 04-C6 turbofans. A: 2 x 14,1 kN SNECMA Larzac 04-C20 turbofans.",High wing,Both sides of fuselage,"Regular tail, low set",Tricycle retractable,
AMXM,,,L1J,C,M,,13000,140,700,170,10000,170,10000,170,10000,0.80,10000,420,0.80,,800,0.80,10000,170,10000,170,10000,,140,700,8.9,13.6,4.6,"1 x 49 kN R-R Spey Mk 807 non afterburning turbofan, built by Fiat",High swept wing,In fuselage,"Regular tail, mid set",Tricycle retractable,
AN12,,,L4T,C,M,Upper Medium,61000,130,700,160,1500,160,1500,160,1500,,1500,310,,,2100,,1500,160,1500,160,1500,120,122,700,38,33,10.5,An12: 4 x 4.000 SHP Ivchenko AI-20k turboprop with 4 blade propellers. Y-8: 4 x 4.250 SHP Zhuzhou WJ6 turboprop with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,ANF
AN2,,,L1P,A,L,Light,5500,45,150,75,650,75,650,75,650,,650,100,,,500,,500,75,500,75,500,,55,150,18.2,12.7,4,An-2: 1 x 1.000 HP PZL Kalisz Asz-61R 9 cylinder radial engine with 4 blade propeller. Y-5: 1 x 1.000 HP PZL Kalisz Asz-61R-16 or 1 x 986 HP Zhuzhou HS5 9 cylinder radial engine with 4 blade propeller.,Biplane,Nose mounted,"Regular tail, high set",Tailwheel fixed,
AN22,,,L4T,C,H,Upper Heavy,225000,,1300,,,,,,,0.65,,350,0.65,,3500,0.65,1000,250,1000,250,1000,,140,1300,64.4,57.9,12.5,4 x 15.000 SHP Kuznetsov NK-12MA turboprop with 8 blade counter rotating propellers.,High wing,(Front) Wing leading mounted,"Double fin, low set",Tricycle retractable,
AN24,,,L2T,B,M,Lower Medium,21000,110,900,140,1500,140,1500,140,1500,,1500,240,,,600,,1500,140,1500,140,1500,170,120,900,29.2,23.5,8.3,An24: 2 x 2.550 SHP Ivchenko AI -24A turboprops with 4 blade propellers. Y-7: 2 x 2.790 SHP Wongan WJ5A I turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,AN4/YN7
AN26,,,L2T,B,M,Lower Medium,24000,120,1200,150,1500,150,1500,150,1500,,1500,235,,,600,,1500,150,1500,150,1500,170,105,1200,29.2,23.8,8.6,2 x 2.820 SHP Ivchenko AI 24VT turboprops with 4 blade propellers  and 1 x 8.83 kN RU 19-300 aux turbojet in starboard nacelle.,High wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,AN6
AN28,,,L2T,A,L,Light,6500,80,400,110,900,110,900,110,900,,900,170,,,550,,800,110,800,110,800,,90,400,22.1,13,4.6,An-28: 2 x 960 SHP Glushenkov TUD-103 turboprops with 3 blade propellers. M-28: 2 x 1.100 SHP P&W PT6A-65B turboprops with 5 blade propellers.,High wing (wing struts),(Front) Wing leading mounted,"Double fin, mid set",Tricycle fixed,
AN30,,,L2T,B,M,Lower Medium,21800,110,800,140,1500,140,1500,140,1500,,1500,235,,,1400,,1500,140,1500,140,1500,,95,800,29.2,24.3,8.3,2 x 2.820 SHP Ivchenko AI-24VT turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,
AN32,,,L2T,B,M,Lower Medium,27000,110,1200,140,1500,140,1500,140,1500,,1500,250,,,900,,1500,140,1500,140,1500,,100,1200,29.2,23.7,8.8,2 x 5.042 SHP ZMKB Progress AI-20D Mk 5 turboprops with 4 blade constant speed reversible-pitch propellers.,High wing,Above wing pods,"Regular tail, high set",Tricycle retractable,
AN38,,,L2T,B,M,Light,8800,100,500,130,1000,130,1000,130,1000,,1000,200,,,800,,800,130,800,130,800,,120,500,22.1,15.5,4.3,2 x 1.118 KW AlliendSignal TPE331-14GR-801E turboprops with 5 blade propellers.,High wing (wing struts),(Front) Wing leading mounted,"Double fin, mid set",Tricycle fixed,
AN70,,,L4T,C,M,Lower Heavy,130000,120,1800,150,1500,150,1500,150,1500,0.70,1500,400,0.70,,2600,0.70,800,150,800,150,800,,140,1800,44.1,40.7,16.1,4 x 13.800 SHP Progress D-27 turbofans with 14 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
AN72,,,L2J,B,M,Lower Medium,34500,110,900,140,2500,140,2500,140,2500,0.62,2500,360,0.62,,1500,0.62,800,140,800,140,800,140,100,900,31.9,28.1,8.7,2 x 63.74 kN ZMKB Progress D-36 turbofans.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,AN7
AS32,,,H2T,A,M,Light,9350,,,80,1500,80,1500,80,1500,,1500,140,,,460,,1000,80,1000,80,1000,,40,,16.2,16.79,4.97,"2 Turbomeca Makila 1A1 1400kW (1,877 shp)",Four bladed main rotor,Above cabin,five bladed tail rotor,Tricycle retractable,
ASTR,,,L2J,B,M,Light,11180,130,1600,160,3000,160,3000,160,3000,0.81,3000,470,0.81,,2500,0.81,1000,160,1000,160,1000,170,120,1600,16.1,16.9,5.5,"1125: 2 x 16.23 kN Garett TFE 731-3B-100G turbofans. SP: 2 x 16,6 kN AlliedSignal TFE731-3C-200G turbofans. SPX: 2 x 18.91 kN AlliedSignal TFE731-40R-200G turbofans.",Low wing,Both sides of rear fuselage,"Regular tail, high set",Tricycle retractable,
AT43,,,L2T,B,M,Lower Medium,16700,110,1100,140,1000,140,1000,140,1000,,1000,255,,,1700,,1500,140,1500,140,1500,170,120,1100,24.6,22.7,7.6,300: 2 x 1.800 SHP PWC PW120 turboprops with 4 blade propellers. 320: 2 x 2.100 SHP PWC PW121 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,AT3/ATR
AT44,,,L2T,B,M,Lower Medium,17900,115,1100,140,1900,140,1900,140,1900,,1900,260,,,1700,,1500,140,1500,140,1500,170,120,1100,24.6,22.7,7.6,2 x 1.900 SHP P&W PW121A Turboprops with 6 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,AT4
AT45,,,L2T,B,M,Lower Medium,18600,110,1000,140,1500,140,1500,140,1500,,1500,300,,,1000,,1500,140,1500,140,1500,170,110,1000,24.6,22.7,7.6,2 x 2.500 SHP PWC PW127 turboprops with 6 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,AT5
AT72,,,L2T,B,M,Lower Medium,21500,110,1500,140,1500,140,1500,140,1500,,1500,275,,,1500,,1500,140,1500,140,1500,170,120,1500,27.1,27.2,7.7,200: 2 x 2160 SHP PWC PW124B turboprops with 4 blade propellers. 210: 2 x 2500 SHP PWC127E  turboprops with 6 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,
AT75,,,L2T,B,M,Lower Medium,23000,110,1367,140,1350,140,1350,140,1350,,1350,280,,,825,,1500,140,1500,140,1500,175,120,1367,27.05,27.17,7.65,2 x 2500 SHP PWC PW127F turboprops with 6 blade propellers,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,AT7
ATLA,,,L2T,C,M,Upper Medium,43500,110,1500,140,2000,140,2000,140,2000,,2000,275,,,2200,,1500,140,1500,140,1500,100,130,1500,36.3,31.7,11.3,2  x  6.106 SHP R-R Tyne Rty.20 turboprop with 4 blade propellers.,Low wing,(Front) Wing leading mounted,Regular tail (Dihedral),Tricycle retractable,
ATP,,,L2T,B,M,Lower Medium,22930,105,1351,140,1000,140,1000,140,1000,,1000,266,,,1000,,1500,140,1500,140,1500,140,105,1351,30.6,26,7.6,ATP: 2 x 2.653 SHP P&W PW 126 A turboprops with 6 blade propellers. JS61: 2 x 2.050 SHP P&W PW 127 D turboprops with 6 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,ATP
B06,,,H1T,A,L,Light,1451,,,60,1350,60,1350,60,1350,,1350,120,,,374,,1100,60,1100,60,1100,,40,,10.16,12.11,2.83,"1 x Allison 250-C20B turboshaft, 450 shp derated to 317shp due to drive train limitations",Two-blade main rotor,Above cabin,Two-blade tail rotor,Skids,
B1,,,L4J,D,H,Lower Heavy,216365,175,1700,205,1000,205,1000,205,1000,0.85,1000,440,0.85,,6500,0.85,1000,205,1000,205,1000,,150,1700,41.7,44.8,10.4,4 x 136.9 kN GE F101 - GE - 102 afterburning turbofans.,Low swing wing,Underwing mounted,Cruciform tail,Tricycle retractable,
B190,,,L2T,B,M,Light,7690,110,1150,145,2500,145,2500,145,2500,,2500,270,,,1500,,1500,145,1500,145,1500,180,120,1150,17.7,17.6,4.7,1900C: 2 x 1.100 SHP P&W PT6A - 65B turboprops with 4 blade propellers. 1900D: 2 x 1.279 SHP P&W PT6A - 67D turboprops with 4 blade propellers.,Low wing (winglets),(Front) Wing leading mounted,T-tail (tail-lets),Tricycle retractable,BE1/BEH/BES
B2,,,L4J,C,H,,170550,195,1500,230,1500,230,1500,230,1500,0.74,1500,450,0.74,,6600,0.74,800,230,800,230,800,,140,1500,52.4,21,5.2,4 x 84.5 kN GE F118-GE-110 turbofans.,Delta wing,In wing mounted,No tail plane,Tricycle retractable,
B230,,,H2T,A,L,Light,3810,,,60,1600,60,1600,60,1600,,1600,130,,,378,,1000,60,1000,60,1000,,40,,12.8,12.88,3.56,2x Rolls-Royce 250-C30G/2,Two-blade main rotor,Above cabin,Two-blade tail rotor,Tricycle retractable,
B350,,,L2T,B,L,Light,6800,120,1000,150,2000,150,2000,150,2000,0.47,2000,300,0.47,,1800,0.47,1500,150,1500,150,1500,150,110,1000,17.7,14.2,4.4,2 x 1.050 SHP P&W PT6A-60A turboprop with 4 blade propellers.,Low wing (winglets),(Front) Wing leading mounted,T-tail,Tricycle retractable,
B37M,,,L2J,C,M,Upper Medium,80000,145,2100,165,2800,165,2800,165,2800,0.78,2800,453,0.78,,3850,0.78,1000,165,1000,165,1000,215,145,2100,35.9,35.56,12.29,2 x CFM International LEAP-1B (130 kN) turbofans,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,7M7
B38M,,,L2J,D,M,Upper Medium,82600,145,2500,165,2500,165,2500,165,2500,0.78,2500,453,0.78,,3550,0.78,1000,165,1000,165,1000,215,145,2500,35.9,39.52,12.29,2 x CFM International LEAP-1B (130 kN) turbofans,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,7M8
B39M,,,L2J,D,M,Upper Medium,88300,149,2600,165,2300,165,2300,165,2300,0.78,2300,453,0.78,,3550,0.78,1000,165,1000,165,1000,220,150,2600,35.9,42.16,12.29,2 x CFM International LEAP-1B (130 kN) turbofans,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,7M9
B3XM,,,L2J,D,M,Upper Medium,89800,150,2700,165,2000,165,2000,165,2000,0.78,2000,453,0.78,,3300,0.78,1000,165,1000,165,1000,225,155,2700,35.92,43.8,12.29,2 x CFM International LEAP-1B (130 kN) turbofans,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,7MX
B412,,,H2T,A,L,Light,5397,,,80,1300,80,1300,80,1300,,1300,125,,,402,,1000,80,1000,80,1000,,40,,14,17.1,4.6,"2 × Pratt & Whitney Canada PT6T-3BE Twin-Pac turboshafts, 900 shp (671 kW) each&#13;&#10;",Four-blade main rotor,Above cabin,Two-blade tail rotor,Skids,
B430,,,H2T,A,L,Light,4218,,,60,1400,60,1400,60,1400,,1400,130,,,324,,1000,60,1000,60,1000,,40,,12.8,13.44,3.73,2 x Rolls-Royce 250-C40B,Four bladed main rotor,Above cabin,Two-blade tail rotor,Skids or tricycle retractable,
B461,,,L4J,C,M,Lower Medium,23290,125,1600,155,1500,155,1500,155,1500,0.65,1500,380,0.65,,1120,0.65,800,155,800,155,800,200,125,1600,26.21,26.16,8.59,4 x 29.8kN Textron Lycoming ALF502R-5 turbofans,High wing,Underwing mounted,T-tail,Tricycle retractable,141 / 146 / 14X
B462,,,L4J,C,M,Lower Medium,42200,125,1030,155,1500,155,1500,155,1500,0.65,1500,380,0.65,,1120,0.65,800,155,800,155,800,200,125,1030,26.34,28.55,8.61,4 × 31kN Honeywell ALF 502R-5 turbofans,High wing,Underwing mounted,T-tail,Tricycle retractable,142 / 146 / 14F / 14Y / 14Z
B463,,,L4J,C,M,Lower Medium,46000,125,1600,155,1500,155,1500,155,1500,0.65,1500,380,0.65,,1100,0.65,800,155,800,155,800,200,125,1600,26.34,31,8.61,4 × 31kN Honeywell ALF 502R-5 turbofans,High wing,Underwing mounted,T-tail,Tricycle retractable,143 / 146 / 14F
B52,,,L8J,E,H,,221350,,3000,300,3000,300,3000,300,3000,0.72,3000,415,0.72,,8600,0.72,800,300,800,300,800,,170,3000,56.4,48.03,12.4,"52: 8 x 47.63 kN P&W J 57-P-19 W/29WA (with water injection 8 x 62.42 kN) turbojets. 52H: 8 x 75,6 kN P&W TF33-P-3 or 4 x 192 kN R-R RB211 turbofans.",High swept wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,
